title,location,city,start_date,start_time,event_link,ticket_link,scraped_at
Tori Amos - In Times of Dragons,COMPENSA koncertų salė,Vilnius,2026-05-30,17:00,https://www.bilietai.lt/renginiai/JEZ7YUSUXG,https://www.bilietai.lt/renginiai/JEZ7YUSUXG,2026-05-25T08:26:44Z
Black Eyed Peas,Kauno Žalgirio arena,Kaunas,2026-06-18,17:00,https://www.bilietai.lt/renginiai/VLPNKZZGVS,https://www.bilietai.lt/renginiai/VLPNKZZGVS,2026-05-25T08:26:44Z
Apie seną SENĄJĮ KAUNĄ. Ekskursija,Kauno senamiestis,Kaunas,2026-06-21,07:30,https://www.bilietai.lt/renginiai/FOUVM64RHU,https://www.bilietai.lt/renginiai/FOUVM64RHU,2026-05-25T08:26:45Z
"Šokių diena ''Ratu, ratu''",Arena Vilnius,Vilnius,2026-07-05,16:00,https://www.bilietai.lt/renginiai/OXIMXRZJCL,https://www.bilietai.lt/renginiai/OXIMXRZJCL,2026-05-25T08:26:45Z
Dainų diena ''Laiku. Ratu. Kartu'',Vilniaus Vingio parkas,Vilnius,2026-07-06,15:30,https://www.bilietai.lt/renginiai/F7GDU7W2NN,https://www.bilietai.lt/renginiai/F7GDU7W2NN,2026-05-25T08:26:46Z
Lenny Kravitz,Kauno Žalgirio arena,Kaunas,2026-07-18,17:00,https://www.bilietai.lt/renginiai/ESOFJCQQOA,https://www.bilietai.lt/renginiai/ESOFJCQQOA,2026-05-25T08:26:46Z
Pitbull - I'm Back!,Dariaus ir Girėno stadionas,Kaunas,2026-07-31,17:00,https://www.bilietai.lt/renginiai/AZEP4Y2YME,https://www.bilietai.lt/renginiai/AZEP4Y2YME,2026-05-25T08:26:47Z
Pitbull - I'm Back! Papildomi bilietai,Dariaus ir Girėno stadionas,Kaunas,2026-07-31,17:00,https://www.bilietai.lt/renginiai/D6GVEQ5QUO,https://www.bilietai.lt/renginiai/D6GVEQ5QUO,2026-05-25T08:26:47Z
Dr. Mikao Usui Reiki Konferencija,Kauno Žalgirio arena,Kaunas,2026-08-15,07:00,https://www.bilietai.lt/renginiai/RNAKLNJVU7,https://www.bilietai.lt/renginiai/RNAKLNJVU7,2026-05-25T08:26:48Z
Corgi Race Vilnius 2026,Vilniaus Vingio parkas,Vilnius,2026-08-15,10:00,https://www.bilietai.lt/renginiai/UOSQTRD4O3,https://www.bilietai.lt/renginiai/UOSQTRD4O3,2026-05-25T08:26:48Z
Jessica Shy,Vilniaus Vingio parkas,Vilnius,2026-08-28,17:00,https://www.bilietai.lt/renginiai/GBD6MHHHOA,https://www.bilietai.lt/renginiai/GBD6MHHHOA,2026-05-25T08:26:49Z
Jessica Shy,Vilniaus Vingio parkas,Vilnius,2026-08-29,17:00,https://www.bilietai.lt/renginiai/CF3CTKWMDT,https://www.bilietai.lt/renginiai/CF3CTKWMDT,2026-05-25T08:26:50Z
ABpark - izklaides parka Avārijas Brigāde dāvanu karte,ABpark Dāvanu karte,,2026-08-31,07:00,https://www.bilietai.lt/renginiai/WGOHWUCZIF,https://www.bilietai.lt/renginiai/WGOHWUCZIF,2026-05-25T08:26:50Z
Legendinės grupės ''SPLIN'' koncertas,COMPENSA koncertų salė,Vilnius,2026-09-03,16:00,https://www.bilietai.lt/renginiai/4EDLVGU6GX,https://www.bilietai.lt/renginiai/4EDLVGU6GX,2026-05-25T08:26:50Z
Snarky Puppy - Somni World Tour 2026,COMPENSA koncertų salė,Vilnius,2026-09-09,17:00,https://www.bilietai.lt/renginiai/VFE7TKYTQ7,https://www.bilietai.lt/renginiai/VFE7TKYTQ7,2026-05-25T08:26:50Z
(Kaunas) Miuziklas MAŽASIS PRINCAS,Kauno Žalgirio arena,Kaunas,2026-09-12,15:00,https://www.bilietai.lt/renginiai/FGRV7EJEYN,https://www.bilietai.lt/renginiai/FGRV7EJEYN,2026-05-25T08:26:51Z
K-POP FEVER,COMPENSA koncertų salė,Vilnius,2026-09-12,16:00,https://www.bilietai.lt/renginiai/OUGGU7UBQX,https://www.bilietai.lt/renginiai/OUGGU7UBQX,2026-05-25T08:26:51Z
SAVAITGALIO BILIETAS | Kauno knygų mugė 2026,Kauno Žalgirio arena,Kaunas,2026-09-18,07:00,https://www.bilietai.lt/renginiai/EVOMIZVRPH,https://www.bilietai.lt/renginiai/EVOMIZVRPH,2026-05-25T08:26:51Z
DIENOS BILIETAS | Kauno knygų mugė 2026,Kauno Žalgirio arena,Kaunas,2026-09-18,07:00,https://www.bilietai.lt/renginiai/PPYQU42L4N,https://www.bilietai.lt/renginiai/PPYQU42L4N,2026-05-25T08:26:52Z
A$AP Rocky - Don't Be Dumb World Tour,Kauno Žalgirio arena,Kaunas,2026-09-25,16:30,https://www.bilietai.lt/renginiai/6QXFO2KY7F,https://www.bilietai.lt/renginiai/6QXFO2KY7F,2026-05-25T08:26:52Z
Bryan Adams: Roll with the Punches,Kauno Žalgirio arena,Kaunas,2026-09-28,17:00,https://www.bilietai.lt/renginiai/3NJN55JGB3,https://www.bilietai.lt/renginiai/3NJN55JGB3,2026-05-25T08:26:53Z
Miuziklas vaikams ''Valio Pūkuotukui!'',COMPENSA koncertų salė,Vilnius,2026-10-10,14:00,https://www.bilietai.lt/renginiai/5SFITJEO4Q,https://www.bilietai.lt/renginiai/5SFITJEO4Q,2026-05-25T08:26:53Z
Placebo | 30th Anniversary tour,Arena Vilnius,Vilnius,2026-10-15,17:00,https://www.bilietai.lt/renginiai/7AU3U7FHXK,https://www.bilietai.lt/renginiai/7AU3U7FHXK,2026-05-25T08:26:53Z
(Šiauliai) Baletas ''Snieguolė ir Septyni Nykštukai'',Šiaulių arena,Šiauliai,2026-10-16,15:00,https://www.bilietai.lt/renginiai/PV4W2AVZZC,https://www.bilietai.lt/renginiai/PV4W2AVZZC,2026-05-25T08:26:53Z
Muzikinis spektaklis ''Laisvi drugeliai'' | Vilnius,COMPENSA koncertų salė,Vilnius,2026-10-22,16:00,https://www.bilietai.lt/renginiai/SGSNNMKNEQ,https://www.bilietai.lt/renginiai/SGSNNMKNEQ,2026-05-25T08:26:54Z
UTMA 20,Arena Vilnius,Vilnius,2026-10-24,16:00,https://www.bilietai.lt/renginiai/RVCLUXZSSH,https://www.bilietai.lt/renginiai/RVCLUXZSSH,2026-05-25T08:26:54Z
(Vilnius) Miuziklas MAŽASIS PRINCAS,COMPENSA koncertų salė,Vilnius,2026-10-25,10:00,https://www.bilietai.lt/renginiai/F2O3S57X67,https://www.bilietai.lt/renginiai/F2O3S57X67,2026-05-25T08:26:55Z
Gulbių ežeras | Vilnius,COMPENSA koncertų salė,Vilnius,2026-11-03,17:00,https://www.bilietai.lt/renginiai/FGIXE6CHPI,https://www.bilietai.lt/renginiai/FGIXE6CHPI,2026-05-25T08:26:55Z
(Šiauliai) Miuziklas MAŽASIS PRINCAS,Šiaulių arena,Šiauliai,2026-11-06,16:00,https://www.bilietai.lt/renginiai/J2O3MMYUKV,https://www.bilietai.lt/renginiai/J2O3MMYUKV,2026-05-25T08:26:55Z
