event_name,location,city,date,time,event_link
Raimundo Sargūno taurė,Kalnapilio Arena,Panevėžys,2026-09-11,14:30,https://kalnapilisarena.lt/renginys/raimundo-sarguno-taure/
Raimundo Sargūno taurė,Kalnapilio Arena,Panevėžys,2026-09-12,13:00,https://kalnapilisarena.lt/renginys/raimundo-sarguno-taure-12/
Mados ir grožio mugė DESIGN FOR LIFE,Kalnapilio Arena,Panevėžys,2026-10-24,10:00,https://kalnapilisarena.lt/renginys/mados-ir-grozio-muge-design-for-life/
Gala žvaigždės,Kalnapilio Arena,Panevėžys,2026-10-29,19:00,https://kalnapilisarena.lt/renginys/gala-zvaigzdes/
DOMINO teatras | premjera KLINIKA,Kalnapilio Arena,Panevėžys,2026-11-19,18:00,https://kalnapilisarena.lt/renginys/domino-teatras-premjera-klinika/
"Prieškalėdinė mugė „Stilius ir Skonis""",Kalnapilio Arena,Panevėžys,2026-11-21,10:00,https://kalnapilisarena.lt/renginys/prieskaledine-muge-stilius-ir-skonis/
"PREMJERA. Komedija ,,DRAMMA ITALIANO. Gal nedarom tragedijos 2”",Kalnapilio Arena,Panevėžys,2026-11-24,18:00,https://kalnapilisarena.lt/renginys/premjera-komedija-dramma-italiano-gal-nedarom-tragedijos-2/
MANTAS STONKUS TŪKSTANTMEČIO VAIKAS Paskutinis skambutis!,Kalnapilio Arena,Panevėžys,2026-11-25,18:00,https://kalnapilisarena.lt/renginys/mantas-stonkus-tukstantmecio-vaikas-paskutinis-skambutis/
Taip gimė žvaigždė | Panevėžys,Kalnapilio Arena,Panevėžys,2026-11-29,18:00,https://kalnapilisarena.lt/renginys/taip-gime-zvaigzde-panevezys/
Kabaretas tarp girnų,Kalnapilio Arena,Panevėžys,2026-12-12,19:00,https://kalnapilisarena.lt/renginys/kabaretas-tarp-girnu/
D. Klajumas ir J. Jankevičius: „SUDEGINTI TILTAI 2: Imtynės“,Kalnapilio Arena,Panevėžys,2026-12-26,19:00,https://kalnapilisarena.lt/renginys/d-klajumas-ir-j-jankevicius-sudeginti-tiltai-2-imtynes/
International Dance Competition STAGE,Kalnapilio Arena,Panevėžys,2027-04-04,08:00,https://kalnapilisarena.lt/renginys/international-dance-competition-stage/
