event_name,location,city,date,time,event_link
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-03,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-04,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-05,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-06,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
Europos jūrinio buriavimo čempionatas,,Klaipėda,2026-08-07,Visa diena,https://kulturosuostas.lt/renginiai-visi/europos-jurinio-buriavimo-cempionatas/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-07,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
Europos jūrinio buriavimo čempionatas,,Klaipėda,2026-08-08,Visa diena,https://kulturosuostas.lt/renginiai-visi/europos-jurinio-buriavimo-cempionatas/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-08,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
Europos jūrinio buriavimo čempionatas,,Klaipėda,2026-08-09,Visa diena,https://kulturosuostas.lt/renginiai-visi/europos-jurinio-buriavimo-cempionatas/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-09,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
Europos jūrinio buriavimo čempionatas,,Klaipėda,2026-08-10,Visa diena,https://kulturosuostas.lt/renginiai-visi/europos-jurinio-buriavimo-cempionatas/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-10,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
Europos jūrinio buriavimo čempionatas,,Klaipėda,2026-08-11,Visa diena,https://kulturosuostas.lt/renginiai-visi/europos-jurinio-buriavimo-cempionatas/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-11,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
Europos jūrinio buriavimo čempionatas,,Klaipėda,2026-08-12,Visa diena,https://kulturosuostas.lt/renginiai-visi/europos-jurinio-buriavimo-cempionatas/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-12,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
Europos jūrinio buriavimo čempionatas,,Klaipėda,2026-08-13,Visa diena,https://kulturosuostas.lt/renginiai-visi/europos-jurinio-buriavimo-cempionatas/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-13,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
Europos jūrinio buriavimo čempionatas,,Klaipėda,2026-08-14,Visa diena,https://kulturosuostas.lt/renginiai-visi/europos-jurinio-buriavimo-cempionatas/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-14,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
Europos jūrinio buriavimo čempionatas,,Klaipėda,2026-08-15,Visa diena,https://kulturosuostas.lt/renginiai-visi/europos-jurinio-buriavimo-cempionatas/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-15,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-16,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-17,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-18,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-19,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-20,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-21,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-22,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-23,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-24,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-25,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-26,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-27,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-28,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
KLAIPĖDOS SPORTO FESTIVALIS 2026,,Klaipėda,2026-08-29,Visa diena,https://kulturosuostas.lt/renginiai-visi/klaipedos-sporto-festivalis-2026/
