event_name,location,city,date,time,event_link
CEV Europos tinklinio lyga 2026 | Moterys | Portugalija – Lietuva,Šiaulių Arena,Šiauliai,2026-06-19,19:00,https://siauliuarena.lt/event/cev-europos-tinklinio-lyga-2026-moterys-portugalija-lietuva/
CEV Europos tinklinio lyga 2026 | Moterys | Portugalija – Rumunija,Šiaulių Arena,Šiauliai,2026-06-20,18:00,https://siauliuarena.lt/event/cev-europos-tinklinio-lyga-2026-moterys-portugalija-rumunija/
CEV Europos tinklinio lyga 2026 | Moterys | Lietuva – Rumunija,Šiaulių Arena,Šiauliai,2026-06-21,16:00,https://siauliuarena.lt/event/cev-europos-tinklinio-lyga-2026-moterys-lietuva-rumunija/
Lietuvos vyrų krepšinio rinktinės kontrolinės rungtynės: Lietuva – Ukraina,Šiaulių Arena,Šiauliai,2026-06-28,19:30,https://siauliuarena.lt/event/lietuvos-vyru-krepsinio-rinktines-kontrolines-rungtynes-lietuva-ukraina/
G&G Sindikatas | Ch. Frenkelio vilos parke,Šiaulių Arena,Šiauliai,2026-07-15,19:00,https://siauliuarena.lt/event/gg-sindikatas-ch-frenkelio-vilos-parke/
Privatus renginys Mažojoje salėje,Šiaulių Arena,Šiauliai,2026-09-09,19:00,https://siauliuarena.lt/event/privatus-renginys-mazojoje-saleje-9/
KK „Šiauliai“ 2026-2027 m. sezono „Geltonai Juodų klubo“ narystė,Šiaulių Arena,Šiauliai,2026-09-21,17:00,https://siauliuarena.lt/event/kk-siauliai-2025-2026-m-sezono-geltonai-juodu-klubo-naryste/
AGNĖS MICHALENKOVAITĖS Vinilinės plokštelės pristatymo koncertas „UŽAUGAU” | Mažoji salė,Šiaulių Arena,Šiauliai,2026-09-26,19:00,https://siauliuarena.lt/event/agnes-michalenkovaites-vinilines-ploksteles-pristatymo-koncertas-uzaugau/
Baletas ”Snieguolė ir Septyni Nykštukai”,Šiaulių Arena,Šiauliai,2026-10-16,18:00,https://siauliuarena.lt/event/baletas-snieguole-ir-septyni-nykstukai/
Miuziklas „MAŽASIS PRINCAS”,Šiaulių Arena,Šiauliai,2026-11-06,18:00,https://siauliuarena.lt/event/miuziklas-mazasis-princas/
The Italian Tenors,Šiaulių Arena,Šiauliai,2026-11-07,19:00,https://siauliuarena.lt/event/the-italian-tenors-2/
CHRIS NORMAN & BAND koncertas,Šiaulių Arena,Šiauliai,2026-12-09,19:00,https://siauliuarena.lt/event/chris-norman-band-koncertas/
Privatus renginys Mažojoje salėje,Šiaulių Arena,Šiauliai,2026-12-12,18:00,https://siauliuarena.lt/event/privatus-renginys-mazojoje-saleje-10/
D. Klajumas ir J. Jankevičius: „SUDEGINTI TILTAI 2: Imtynės“,Šiaulių Arena,Šiauliai,2026-12-27,19:00,https://siauliuarena.lt/event/d-klajumas-ir-j-jankevicius-sudeginti-tiltai-2-imtynes/
Igoris Jarmolenka ir Vyrų Šou Be Stabdžių,Šiaulių Arena,Šiauliai,2027-05-03,19:00,https://siauliuarena.lt/event/igoris-jarmolenka-ir-vyru-sou-be-stabdziu/
