event_name,location,city,date,time,event_link
City Luggage Market,Švyturio Arena,Klaipėda,2026-05-09,09:00,https://www.svyturioarena.lt/en/
"LKL: ""Neptūnas"" – ""Gargždai""",Švyturio Arena,Klaipėda,2026-05-10,19:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market/
LKL: Neptūnas – Žalgiris (planned to be moved),Švyturio Arena,Klaipėda,2026-05-14,18:30,https://www.svyturioarena.lt/en/Events/lkl-neptune-gargzdu-gargzdai/
"LKL: ""Neptūnas"" – ""Jonava""",Švyturio Arena,Klaipėda,2026-05-17,19:00,https://www.svyturioarena.lt/en/Events/Lkl-Neptunas-Zalgiris/
City Luggage Market,Švyturio Arena,Klaipėda,2026-05-23,09:00,https://www.svyturioarena.lt/en/Events/LCL-Neptune-Jonava/
Private event,Švyturio Arena,Klaipėda,2026-05-29,00:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-2/
PARA-TON OF KINDNESS,Švyturio Arena,Klaipėda,2026-05-31,10:00,https://www.svyturioarena.lt/en/Events/grand-champ-lithuania-2026/
City Luggage Market,Švyturio Arena,Klaipėda,2026-06-13,09:00,https://www.svyturioarena.lt/en/Events/Goodwill-Day/
Meet & Cruise,Švyturio Arena,Klaipėda,2026-06-13,18:30,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-3/
City Luggage Market,Švyturio Arena,Klaipėda,2026-06-20,09:00,https://www.svyturioarena.lt/en/Events/meet-cruise/
Baltic Cup – Fight of Hope 2026,Švyturio Arena,Klaipėda,2026-06-21,10:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-4/
KVK Diploma Award Ceremony,Švyturio Arena,Klaipėda,2026-06-23,13:00,https://www.svyturioarena.lt/en/Events/Baltic-Cup-Hope-Fight-2026/
City Luggage Market,Švyturio Arena,Klaipėda,2026-06-27,09:00,https://www.svyturioarena.lt/en/Events/at-the-KVC-diploma-presentation-ceremony/
City Luggage Market,Švyturio Arena,Klaipėda,2026-07-11,09:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-5/
City Luggage Market,Švyturio Arena,Klaipėda,2026-07-18,09:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-6/
"Theatrical show ""Fashion Alchemy with Alexander Vasiliev""",Švyturio Arena,Klaipėda,2026-07-18,18:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-7/
City Luggage Market,Švyturio Arena,Klaipėda,2026-08-08,09:00,https://www.svyturioarena.lt/en/Events/theatrical-show-fashion-alchemy-with-alexander-vasiliev/
City Luggage Market,Švyturio Arena,Klaipėda,2026-08-15,09:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-8/
City Luggage Market,Švyturio Arena,Klaipėda,2026-08-22,09:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-9/
Febi Auto Show 2026,Švyturio Arena,Klaipėda,2026-08-22,11:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-10/
City Luggage Market,Švyturio Arena,Klaipėda,2026-08-29,09:00,https://www.svyturioarena.lt/en/Events/febi-auto-show-2026/
City Luggage Market,Švyturio Arena,Klaipėda,2026-09-12,09:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-11/
City Luggage Market,Švyturio Arena,Klaipėda,2026-09-19,09:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-12/
City Luggage Market,Švyturio Arena,Klaipėda,2026-09-26,09:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-13/
City Luggage Market,Švyturio Arena,Klaipėda,2026-10-10,09:00,https://www.svyturioarena.lt/en/Events/city-%E2%80%8B%E2%80%8Btrunk-market-14/
"Ballet ""Swan Lake""",Švyturio Arena,Klaipėda,2026-11-06,19:00,https://www.svyturioarena.lt/en/Events/sa-exhibition-construction-and-architecture/
Chris Norman & Band,Švyturio Arena,Klaipėda,2026-12-07,19:00,https://www.svyturioarena.lt/en/Events/Klaipeda-Book-Fair-2026/
Vagelis. Playground,Švyturio Arena,Klaipėda,2026-12-11,20:00,https://www.svyturioarena.lt/en/Events/chris-norman-tries/
"Show ""Ice Melodies""",Švyturio Arena,Klaipėda,2026-12-16,19:00,https://www.svyturioarena.lt/en/Events/furrow-in-the-field/
"D. Klajumas and J. Jankevičius: ""Burned Bridges 2: Wrestling""",Švyturio Arena,Klaipėda,2026-12-30,19:00,https://www.svyturioarena.lt/en/Events/sou-ice-melodies/
Ashes 30,Švyturio Arena,Klaipėda,2027-01-01,19:00,https://www.svyturioarena.lt/en/Events/d-klajumas-and-j-jankevicius-burnt-bridges-2-wrestling/
